Year,Item,Value
2013,Carrots and turnips,304.0
2013,Carrots and turnips,431.0
2013,Carrots and turnips,439.0
2013,Carrots and turnips,668.0
2013,Carrots and turnips,641.0
2013,Carrots and turnips,517.0
2013,Carrots and turnips,458.0
2013,Carrots and turnips,428.0
2013,Carrots and turnips,416.0
2013,Carrots and turnips,413.0
2014,Carrots and turnips,361.0
2014,Carrots and turnips,378.0
2014,Carrots and turnips,373.0
2014,Carrots and turnips,363.0
2014,Carrots and turnips,368.0
2014,Carrots and turnips,377.0
2014,Carrots and turnips,549.0
2014,Carrots and turnips,448.0
2014,Carrots and turnips,351.0
2014,Carrots and turnips,314.0
2014,Carrots and turnips,314.0
2014,Carrots and turnips,322.0
2014,Carrots and turnips,342.0
2015,Carrots and turnips,464.0
2015,Carrots and turnips,390.0
2015,Carrots and turnips,400.0
2015,Carrots and turnips,444.0
2015,Carrots and turnips,511.0
2015,Carrots and turnips,509.0
2015,Carrots and turnips,490.0
2015,Carrots and turnips,485.0
2015,Carrots and turnips,484.0
2015,Carrots and turnips,483.0
2015,Carrots and turnips,468.0
2016,Carrots and turnips,430.0
2016,Carrots and turnips,448.0
2016,Carrots and turnips,444.0
2016,Carrots and turnips,445.0
2016,Carrots and turnips,468.0
2016,Carrots and turnips,502.0
2016,Carrots and turnips,664.0
2016,Carrots and turnips,503.0
2016,Carrots and turnips,429.0
2016,Carrots and turnips,391.0
2016,Carrots and turnips,375.0
2016,Carrots and turnips,366.0
2016,Carrots and turnips,343.0
2017,Carrots and turnips,365.0
2017,Carrots and turnips,356.0
2017,Carrots and turnips,376.0
2017,Carrots and turnips,379.0
2017,Carrots and turnips,425.0
2017,Carrots and turnips,435.0
2017,Carrots and turnips,428.0
2017,Carrots and turnips,398.0
2017,Carrots and turnips,379.0
2017,Carrots and turnips,281.0
2017,Carrots and turnips,281.0
2017,Carrots and turnips,280.0
2017,Carrots and turnips,280.0
2018,Carrots and turnips,404.0
1991,Carrots and turnips,280.5
1992,Carrots and turnips,219.5
1993,Carrots and turnips,173.0
1994,Carrots and turnips,223.1
1995,Carrots and turnips,179.5
1996,Carrots and turnips,141.7
1997,Carrots and turnips,192.6
1998,Carrots and turnips,157.0
1999,Carrots and turnips,208.6
2000,Carrots and turnips,181.7
2001,Carrots and turnips,208.6
2002,Carrots and turnips,194.0
2003,Carrots and turnips,172.0
2004,Carrots and turnips,135.0
2005,Carrots and turnips,117.0
2006,Carrots and turnips,234.0
2007,Carrots and turnips,237.0
2008,Carrots and turnips,293.0
2009,Carrots and turnips,297.0
2010,Carrots and turnips,333.0
2011,Carrots and turnips,315.0
2012,Carrots and turnips,413.0
2013,Carrots and turnips,431.0
2014,Carrots and turnips,361.0
2015,Carrots and turnips,464.0
2016,Carrots and turnips,430.0
2017,Carrots and turnips,365.0
2018,Carrots and turnips,404.0
1991,Carrots and turnips,330.6
1992,Carrots and turnips,274.8
1993,Carrots and turnips,204.6
1994,Carrots and turnips,268.8
1995,Carrots and turnips,245.0
1996,Carrots and turnips,184.2
1997,Carrots and turnips,217.1
1998,Carrots and turnips,174.5
1999,Carrots and turnips,222.2
2000,Carrots and turnips,167.4
2001,Carrots and turnips,186.6
2002,Carrots and turnips,182.6
2003,Carrots and turnips,194.1
2004,Carrots and turnips,167.6
2005,Carrots and turnips,145.5
2006,Carrots and turnips,293.5
2007,Carrots and turnips,324.4
2008,Carrots and turnips,429.2
2009,Carrots and turnips,412.6
2010,Carrots and turnips,441.0
2011,Carrots and turnips,437.9
2012,Carrots and turnips,530.6
2013,Carrots and turnips,572.3
2014,Carrots and turnips,479.0
2015,Carrots and turnips,514.6
2016,Carrots and turnips,475.6
2017,Carrots and turnips,412.3
2018,Carrots and turnips,477.1
1991,Carrots and turnips,67.06
1992,Carrots and turnips,52.46
1993,Carrots and turnips,41.35
1994,Carrots and turnips,53.33
1995,Carrots and turnips,42.91
1996,Carrots and turnips,33.88
1997,Carrots and turnips,46.04
1998,Carrots and turnips,37.52
1999,Carrots and turnips,49.86
2000,Carrots and turnips,43.43
2001,Carrots and turnips,49.86
2002,Carrots and turnips,46.37
2003,Carrots and turnips,41.12
2004,Carrots and turnips,32.27
2005,Carrots and turnips,27.97
2006,Carrots and turnips,55.94
2007,Carrots and turnips,56.65
2008,Carrots and turnips,70.04
2009,Carrots and turnips,71.0
2010,Carrots and turnips,79.6
2011,Carrots and turnips,75.3
2012,Carrots and turnips,98.73
2013,Carrots and turnips,103.03
2014,Carrots and turnips,86.29
2015,Carrots and turnips,110.92
2016,Carrots and turnips,102.79
2017,Carrots and turnips,87.25
2018,Carrots and turnips,96.57
2019,Carrots and turnips,97.94
2020,Carrots and turnips,97.6
2021,Carrots and turnips,96.71
2022,Carrots and turnips,96.41
2023,Carrots and turnips,96.08
2024,Carrots and turnips,95.74
1991,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",9500.0
1992,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",8659.0
1993,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",8300.0
1994,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",9151.0
1995,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",9230.0
1996,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",9270.0
1997,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",10140.0
1998,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",9959.0
1999,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",9901.0
2000,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11151.0
2001,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13482.0
2002,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1149.0
2003,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1023.0
2004,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1176.0
2005,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",801.0
2006,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1088.0
2007,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1159.0
2008,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1032.0
2009,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",998.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1149.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2142.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1701.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1890.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1366.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1154.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",962.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1005.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1005.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",630.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1023.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1827.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1638.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1638.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1259.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",966.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",820.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",883.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",882.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",504.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1102.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2016.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1827.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1701.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1575.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",982.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",942.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",795.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",837.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",441.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1134.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2016.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1827.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1701.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1575.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",982.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",942.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",795.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",837.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",441.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1297.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2230.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1926.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1633.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1339.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1221.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1074.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1098.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1162.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",751.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1318.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2345.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1775.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1638.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1392.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1207.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1058.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1178.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1194.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1312.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2225.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1827.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1764.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1404.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1239.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1070.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1152.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1105.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",790.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1248.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2070.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1793.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1659.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1506.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1104.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",880.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",872.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1114.0
2018,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1156.0
1991,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",690.4
1992,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",629.3
1993,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",603.2
1994,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",665.0
1995,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",670.8
1996,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",673.7
1997,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",736.9
1998,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",723.7
1999,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",719.5
2000,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",810.4
2001,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",979.8
2002,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1149.0
2003,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1023.0
2004,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1176.0
2005,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",801.0
2006,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1088.0
2007,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1159.0
2008,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1032.0
2009,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",998.0
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1149.0
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1023.0
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1102.0
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1134.0
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1297.0
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1318.0
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1312.0
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1248.0
2018,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1156.0
1991,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",813.6
1992,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",787.9
1993,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",713.5
1994,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",801.2
1995,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",915.5
1996,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",875.6
